ID,Name,Owner,Mailing_Address,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Franchise,Own_Lease,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Income_052019_062019,Income_052020_062020,Income_052021_062021,Profit_052019_062019,Profit_052020_062020,Profit_052021_062021,Selected_Open,Helpfulness,Long,Lat
712,BRANZY'S CHILL N GRILL,Gabriel Predovic,"2056 DUFFERIN ST, Flr-N/A",2755974175,2752736425,r@xntfqdy.gom,Xt1s3rDzhPlVQ @ awm .com,6-10 years,Y,Own,46,16,9,73,45,95,N,Y,Y,Y,Chinese,N,Low-end,245908,90080,78137,8659,3631,2751,N,0,-79.44693,43.68682
713,BRAR PAKWAN,Hilton Harber,2646 ISLINGTON AVE,5367916187,9458534317,qnshtb@ktu.vue,0jfqnazuuhzfq @ bhc .com,1-5 years,N,Own,49,4,8,156,22,95,N,Y,N,N,Japanese,N,Low-end,123851,5626,139052,2478,1183,2783,Y,5,-79.5663,43.73809
714,BRASIL STONE GRILL,Pearle Greenholt,2184 EGLINTON AVE W,5829381237,5269818629,ipstnjd@mjzh.qed,ambwxH4Zd8FNb @ qhw .com,1-5 years,Y,Own,69,11,63,139,61,62,Y,Y,Y,N,Vietnamese,Y,Average,257840,27880,192368,5160,1044,3850,Y,1,-79.46133,43.69345
715,BRASILEIRISSIMO STEAK HOUSE,Ron Armstrong,1209 DUNDAS ST W,7891286349,3254621845,k@uavonwtbk.pyc,v43lYlN1KTjtA @ nfe .com,1-5 years,N,Own,62,8,49,92,60,87,N,Y,N,N,Chinese,Y,High-end,665935,99341,238862,14449,835,5182,Y,2,-79.42263,43.64929
716,BRASS TAPS PIZZA PUB,Anisa Hermann,493 DANFORTH AVE,6819143941,4158628629,lhnuvmft@isolz.yrw,URFHVME0udXzD @ miq .com,11-20 years,Y,Lease,32,3,14,148,0,50,N,Y,N,N,Chinese,N,High-end,706474,376440,327938,22125,6316,10270,N,0,-79.34924,43.67782
717,BRASS TAPS PIZZA PUB,Heather Stehr,934 COLLEGE ST,5715923876,6724932963,igcznqx@lzhgpa.rgv,OixkpiY5shaK2 @ wrt .com,Under 1 year,Y,"Lease, want to purchase",50,2,14,142,38,86,Y,N,Y,N,Vietnamese,Y,Low-end,181965,115063,109745,5704,740,3440,Y,1,-79.42618,43.65363
718,BRAZEN HEAD,Elza Bashirian,165 EAST LIBERTY ST,2879184532,5741622546,ghcisbdlm@sbw.uzc,NA,Under 1 year,Y,Own,55,18,17,161,46,49,Y,N,Y,N,Vietnamese,N,High-end,415666,108893,97409,12521,5124,2934,N,0,-79.41722,43.63831
719,BREAD & BOWL,Oren O'Keefe,2 MURRAY ST,9823962417,9538549381,rmgsaipbh@fnlviuwrcj.cgo,hYLft4qcFuYw7 @ frj .com,11-20 years,N,Own,15,16,16,146,64,65,Y,N,N,N,Vietnamese,N,Average,478648,163177,160897,15006,989,5044,N,0,-79.39094,43.6563
720,BREAD & ROSES,Adrian Swift,"2901 BAYVIEW AVE, 120",9178195821,1345428325,fncyl@igbncuod.uyl,3kT3FERtsNeDz @ lrr .com,Over 20 years,Y,Lease,69,6,36,120,34,78,Y,Y,Y,N,Greek,N,Low-end,127133,14999,69931,5596,521,3078,Y,1,-79.38837,43.76923
721,BREAD AND ROSES,Elinor Friesen,508 DANFORTH AVE,3426824532,6352181376,ivygjr@nerpkwu.rzb,WD8P8fiGdxULG @ cpp .com,6-10 years,N,Lease,22,3,28,116,13,96,Y,Y,Y,N,Thai,N,Average,192545,67438,120295,8476,570,5295,Y,3,-79.34886,43.67843
722,BREAD AND ROSES BAKERY CAFE,Jasper Marvin,2232 BLOOR ST W,2952897498,5487912916,bhsqmixwfc@lfpzvqoad.zag,MMVTYeP7j3QLR @ kwt .com,11-20 years,N,Lease,44,3,15,103,66,88,Y,Y,Y,N,Mexican,Y,High-end,611652,79508,87226,18379,5909,2620,N,0,-79.47685,43.65128
723,BREAKFAST ROOM,Melanie Hackett,384 ROYAL YORK RD,4326497549,6874768264,rwo@fy.ycf,xFT98mOtXI4nV @ lhk .com,11-20 years,N,Lease,47,1,21,118,54,74,Y,N,Y,N,Chinese,Y,Low-end,123236,16333,148502,2742,205,3304,Y,5,-79.49973,43.61877
724,BREAKWALL BBQ,Catina Deckow,1910 QUEEN ST E,3762696984,4587155241,eisvkzt@s.wxm,UHCbFLy7Xrnot @ uzv .com,Over 20 years,Y,Own,23,4,6,83,35,64,Y,Y,Y,N,Vietnamese,N,Average,434047,184748,194856,9657,1758,4335,N,0,-79.30451,43.66929
725,BRICK FARM BREAKFAST,Jonah Turner,2116 DANFORTH AVE,4877133274,7211252617,mywujzgcfd@zwkesyu.rwt,IWYX4SmIVbv37 @ vlh .com,11-20 years,Y,Lease,53,11,25,72,60,79,Y,Y,Y,Y,Vietnamese,N,Low-end,128533,38635,151033,5513,278,6478,Y,5,-79.31191,43.68617
726,BRICK STREET BAKERY,Tamatha Huel,"27 TRINITY ST, Bldg-45A",1696185214,7911655491,fupdybhim@zofksv.son,sPoRASVmQq4XT @ vvy .com,1-5 years,Y,Lease,21,1,5,83,17,66,N,N,Y,N,Mediterranean,N,High-end,503453,145979,153861,19990,7108,6109,N,0,-79.35948,43.65055
727,BRICKWORKS CIDER HOUSE,Carlos DuBuque,709 QUEEN ST E,3797518943,7931965314,yoiqxgnzd@kj.xpy,64bJIGnlkWOod @ dht .com,1-5 years,N,"Lease, want to purchase",36,11,32,148,62,72,Y,N,Y,N,Greek,N,Low-end,145965,23568,125749,2983,556,2570,Y,1,-79.3496,43.65873
728,BRIOCHE DOREE,Ferdinand Marks,3300 BLOOR ST W,6797928715,6236794592,wsgcqxlb@dqpm.ljp,qXfOXnDxxxZ2R @ xlm .com,Over 20 years,N,"Lease, want to purchase",57,1,53,105,10,64,Y,Y,Y,Y,Greek,N,Low-end,190573,92072,130402,5806,877,3973,Y,1,-79.5224,43.64549
729,BRIOCHE DOREE,Clifford Marquardt,"5650 YONGE ST, Unit-002",1866133425,7154266317,efyt@o.gki,imzwMgsPkAxpe @ ceq .com,6-10 years,N,Own,56,7,7,75,3,77,Y,Y,Y,N,Japanese,Y,Low-end,131481,49275,44994,2793,344,955,N,0,-79.41596,43.78018
730,BRIOCHE DOREE CAFE AND BAKERY,Elmer Morissette,650 KING ST W,9344792743,1652139658,gfkyj@lmorizycw.jrf,Tiwr7ZOQ2NOGz @ gcu .com,Under 1 year,N,Lease,22,17,24,96,30,68,Y,N,Y,N,Japanese,Y,High-end,763271,348350,417363,18542,8509,10139,Y,5,-79.40218,43.64456
731,BRITISH STYLE FISH & CHIPS,Aubrey Hartmann,"73 COXWELL AVE, Unit-1",1363292513,7867363297,qolps@rmtpnuzc.jln,J41PyUfW7nhg9 @ hzb .com,6-10 years,Y,Own,15,2,11,91,48,81,Y,N,Y,N,Mediterranean,N,Low-end,233098,16253,15441,4707,2599,311,N,0,-79.31727,43.66862
732,BROADVIEW ESPRESSO,Star Pagac,817 BROADVIEW AVE,8979539351,6322678321,lbk@cdvq.axy,5lVZY2yRzWG4o @ ujw .com,1-5 years,N,Lease,64,19,8,90,17,97,N,N,N,N,Mexican,N,Low-end,136722,53954,150707,4604,2125,5075,Y,1,-79.35822,43.67852
733,BROCKTON BAR & SPORTS,Dion Treutel,1543 DUNDAS ST W,6526199251,4628255319,zp@stwd.afr,0BMHSDkW6dITO @ jvj .com,Under 1 year,Y,Lease,23,2,9,136,25,52,Y,N,Y,N,Chinese,Y,Low-end,180555,26750,22883,7628,1104,966,N,0,-79.43328,43.64973
734,BROTHER BAR AND RESTAURANT,Nguyet Gulgowski,962 ST CLAIR AVE W,3184877248,9721483871,lmqwtk@sbhuvxoenj.qao,LQo83T4TfZwIV @ ecl .com,Under 1 year,N,Own,12,16,13,132,61,76,Y,Y,Y,N,Italian,Y,Average,331371,1727,1851,14214,147,79,N,0,-79.43632,43.67968
735,BROTHERS FOOD & WINE,Kristan Kohler,1240 BAY ST,9678572965,2168321495,wrelbpsvt@pvexs.zih,FcbmzzZWTy9eX @ yim .com,6-10 years,Y,Lease,67,11,19,99,21,62,Y,Y,Y,N,Greek,N,Average,392346,67377,362338,8020,2678,7406,Y,4,-79.39014,43.67034
736,BROTHERS PIZZA,Jeanelle Brakus,976A PAPE AVE,7566273651,9131255213,jbzkrqt@zrfklwd.oeh,PcZLcJu4zB8Lg @ jzm .com,1-5 years,Y,Lease,42,9,4,111,22,69,Y,Y,N,Y,Mediterranean,N,Average,210253,11928,11031,6406,2447,336,N,0,-79.34854,43.68787
737,BROWN SUGAR LOUNGE,Thomasina Rutherford,1327 MARTIN GROVE RD,6597251786,8517431529,op@hilmcnxe.uie,jxvq4dpcDt560 @ zwi .com,11-20 years,Y,Lease,40,17,10,102,68,43,Y,N,Y,N,Greek,N,High-end,606162,18224,563285,23333,2993,21683,Y,3,-79.58097,43.71419
738,BROWNES BISTRO,Grazyna Pfannerstill,1251 YONGE ST,6423712715,5866237825,zvt@kp.jlc,xbXUsY0hT9Z5O @ ord .com,11-20 years,Y,Lease,7,7,1,130,63,64,N,Y,Y,Y,American,N,Average,304417,170167,190063,6467,1786,4037,N,0,-79.39212,43.68417
739,BROWNS LINE DONUTS,Avis Wiza,744 BROWNS LINE,3799421783,3977369128,ylgoem@ftzucqop.mcr,zArXhlw58xQBo @ tci .com,11-20 years,Y,Lease,58,7,48,158,36,69,Y,Y,Y,N,Chinese,Y,Low-end,253954,152713,91612,7903,2201,2851,Y,4,-79.54837,43.60792
740,BRYDEN'S,Mohammed Kerluke,2455 BLOOR ST W,1258351982,7349129367,gulmwxjvba@iznxrv.qil,h7sSK1BntGS04 @ oki .com,1-5 years,N,Lease,28,8,6,161,12,57,Y,N,Y,Y,Chinese,Y,Low-end,206314,37885,180731,8303,2034,7273,Y,3,-79.48457,43.64904
741,BU'NA THE SOUL OF COFFEE,Vicki Balistreri,1176 QUEEN ST W,4127415987,6733411345,vasmhfq@mdsohgialc.mjk,YRdjveKlHYccN @ snj .com,Under 1 year,N,Lease,32,5,1,160,10,88,Y,N,Y,N,Korean,Y,Low-end,205158,19328,17520,6299,570,537,N,0,-79.4258,43.64302
742,BUA THAI,Renaldo Murazik,743 THE QUEENSWAY,8614162914,4526422697,qfk@lhntmja.nry,r3gNnV8icRAsI @ yzs .com,1-5 years,N,Lease,45,14,24,137,22,48,Y,Y,N,Y,Chinese,N,Low-end,178215,49945,144211,7846,3360,6349,Y,1,-79.5033,43.62616
743,BUABUA THAI EATERY,Terrence Cassin,1677 BAYVIEW AVE,6231358621,9326375183,ehkslbpwo@mruxdnkzv.jcn,CoRk4UhDsF3wv @ xqf .com,Over 20 years,N,Own,48,2,48,121,47,65,Y,Y,Y,N,Mexican,Y,Average,207006,9322,169755,4180,526,3428,Y,4,-79.37572,43.70756
744,BUBBA'S CRISPY FRIED CHICKEN,Denny Nitzsche,247 QUEEN ST W,2496391796,2834959874,wahymtx@xujgqayvi.gto,XDPvCe3bcQ3kK @ ikv .com,Over 20 years,Y,Own,13,3,2,89,31,73,N,Y,Y,N,Mediterranean,N,Average,282883,130461,127986,9526,5254,4309,N,0,-79.38876,43.65036
745,BUBBLE REPUBLIC,Wilbert Turcotte,637 BAY ST,3254634618,8624136214,bdn@glkourh.anp,vL2XZZnvRDViu @ nnu .com,1-5 years,Y,Lease,27,3,3,118,38,97,Y,Y,Y,Y,Mexican,N,Low-end,233577,13801,13829,6268,11,371,N,0,-79.38384,43.65692
746,BUBBY'S NEW YORK BAGELS,Brian Frami,970 LAWRENCE AVE W,8351247853,7865181587,ahwivjgcf@ryzamhves.hbo,UTGSf9eB9RRTx @ her .com,1-5 years,Y,Lease,7,9,3,154,7,66,Y,N,Y,N,Japanese,Y,Low-end,148833,3865,4191,3971,79,111,N,0,-79.45829,43.71376
747,BUCA,Bobbie Wilkinson,604 KING ST W,7138341724,6152538459,zqktvuifo@gbl.bac,GVtr66Khh73xi @ xzo .com,6-10 years,Y,Lease,36,13,7,146,42,77,Y,Y,Y,Y,Chinese,Y,Average,326462,19582,20140,13793,1303,850,N,0,-79.40013,43.64442
748,BUCA,Cassandra Aimonetti,55 SCOLLARD ST,8176394275,3187266478,gmu@zksahjt.tdl,YZZxKaChprFyF @ jnx .com,Under 1 year,Y,Own,65,18,56,86,31,43,Y,Y,Y,N,Indian,Y,Low-end,257602,7360,102032,7218,3571,2859,Y,4,-79.39005,43.67205
749,BUD'S COFFEE,Dane Osinski,1966 QUEEN ST E,3589254213,5624769853,f@ofuvmqptla.vpr,PIA3KYsaBHUjw @ gxj .com,11-20 years,Y,Lease,44,6,20,130,57,95,Y,Y,Y,N,Chinese,Y,Low-end,223912,22879,130886,8792,2145,5139,Y,3,-79.30182,43.66981
750,BUDA-PEST RESTAURANT,Donald Konopelski,2183 DANFORTH AVE,8615122467,6435493729,cbgnxyuqt@yw.vps,COjCvDIIktjpi @ rbv .com,6-10 years,Y,Own,55,2,54,141,44,67,Y,Y,Y,N,Vietnamese,N,Average,220627,66559,201558,6866,2587,6272,Y,5,-79.30999,43.68614
751,BUDDHA'S VEGETARIAN FOODS,Donnell Purdy,666 DUNDAS ST W,5381347528,3626393219,cjnmwd@slqz.ejv,dkb4BT3LcZlUb @ xet .com,11-20 years,N,Own,27,7,54,117,60,70,N,Y,Y,N,Indian,N,High-end,549246,92039,649646,20568,7385,24328,Y,1,-79.40392,43.65175
752,BUDDIES IN BAD TIMES THEATRE,Kaitlyn Schuppe,12 ALEXANDER ST,4721734579,3164766549,hb@vkhryb.yab,4i2jnHFKFn98a @ yxu .com,Over 20 years,N,Own,60,9,5,89,15,73,Y,Y,Y,N,Mexican,N,Low-end,190598,10179,8764,5379,53,247,N,0,-79.38307,43.66332
753,BUENA COPA,Elanor Purdy,460 COLLEGE ST,8617689783,8656359417,xes@zylhfumc.rzs,ulvdubFjqGnmi @ lyg .com,11-20 years,N,"Lease, want to purchase",29,7,13,150,10,68,Y,N,Y,Y,American,N,Average,369521,40216,40128,14872,7916,1615,N,0,-79.40832,43.65635
754,BUK CHANG DONG SOON TOFU,Yadira Bernier,691 BLOOR ST W,9372542165,4319647248,j@qwz.jdx,xoFyCnjTdjPKK @ uvs .com,1-5 years,Y,Own,18,12,13,147,54,85,Y,Y,N,N,Mediterranean,N,Low-end,157355,14249,15119,4913,115,472,N,0,-79.41716,43.66365
755,BUK CHANG DONG SOON TOFU,Darrell Abshire,2450 SHEPPARD AVE E,6424364185,8645342647,ehtqfndj@amjofgxkt.vfq,8kdlHR1rG4FVY @ tts .com,11-20 years,N,Own,33,17,50,74,59,46,Y,N,N,N,Mediterranean,Y,Average,497438,131983,294246,15274,1299,9035,Y,4,-79.32625,43.7749
756,BUK CHANG DONG SOON TOFU - II,Tory Kirlin,5445 YONGE ST,4733484831,8758125248,vj@wqhiraly.nzk,YIvMq3IGwlpDw @ qyo .com,Under 1 year,N,Lease,64,2,8,92,9,40,Y,N,Y,Y,Chinese,N,High-end,591372,223339,206139,22415,6760,7813,N,0,-79.41455,43.77717
757,BUMPKINS RESTAURANT,Kelle Von,21 GLOUCESTER ST,7494277896,5193193157,mviogs@okacghj.ysc,8oGvWm8P4CHU6 @ rhr .com,1-5 years,N,Own,26,16,2,78,45,47,Y,N,Y,N,Mexican,Y,Average,218577,145060,146684,9623,2762,6458,N,0,-79.38416,43.66663
758,BUN BO HUE PHO,Edmond Murazik,2385 FINCH AVE W,1478657518,1783747628,ysd@lfgebtzhw.mxy,Uft58sl1Jej1q @ ewy .com,1-5 years,N,Own,40,15,13,93,41,80,Y,Y,Y,N,Italian,N,Average,199521,39811,44842,5354,1099,1203,N,0,-79.54372,43.75127
759,BUN SAIGON,Hector Dibbert,252 SPADINA AVE,9656951953,8367188714,m@kuiybgxnot.yxk,FCaxZHXGrblv2 @ kgx .com,1-5 years,Y,Lease,58,12,35,159,21,65,Y,Y,Y,N,Korean,Y,Average,498439,17705,233637,13300,467,6234,Y,5,-79.3978,43.6517
760,BUNAS KITCHEN,Stanley Volkman,388 RICHMOND ST W,3214185398,5395464582,tp@ozncgqbept.ceo,r1CRSjPrZ45Wd @ dlq .com,1-5 years,Y,Lease,24,4,10,79,45,45,N,Y,N,N,Mexican,Y,High-end,659033,236612,222122,21667,7615,7302,N,0,-79.39486,43.6481
761,BUNNER'S,Giovanna Upton,3054 DUNDAS ST W,4363481693,7697898457,yctgafno@ckpnh.nux,IvmTvycZO1qSE @ mxm .com,1-5 years,Y,Own,60,14,53,114,33,42,Y,N,N,N,Greek,Y,Average,335835,174908,387853,9410,2957,10868,Y,1,-79.47145,43.66569
762,BUON APPETITO,Amie Brakus,685 LANSDOWNE AVE,5294326572,4869836547,xsvwionyfp@inzfeygs.jmd,Ehmc2ZYiWVkm3 @ fql .com,1-5 years,N,Own,59,8,21,156,8,54,N,Y,Y,N,Greek,Y,High-end,765516,334797,469997,29638,4006,18196,Y,5,-79.44289,43.6588
763,BUON GIORNO CAFFE,Jed Batz,1134 THE QUEENSWAY,7412848736,1479843462,ligku@ft.rzm,3m3bVq2vAoj4j @ mkc .com,11-20 years,N,Lease,63,17,6,82,6,80,Y,Y,Y,Y,Others,Y,High-end,478448,82671,304284,10328,5467,6568,Y,5,-79.51957,43.62287
764,BUONO,Beckie Jacobs,354 QUEEN ST W,3974988467,6944629613,vhcdltepz@jq.emn,zqoC8kQ9a3YrV @ enf .com,Under 1 year,N,Own,51,3,13,131,4,53,Y,N,N,Y,Korean,N,Average,304047,39663,39658,11938,1031,1557,N,0,-79.39536,43.64895
765,BUONO,Mae Schuster,838 COLLEGE ST,8129876324,5164155967,dqf@emp.jgu,B1IGR534Fwn73 @ nwm .com,6-10 years,N,Lease,55,6,60,135,0,62,Y,Y,N,N,Mediterranean,N,Low-end,129888,31001,122989,5405,1493,5118,Y,1,-79.42298,43.65434
766,BURDOCK,Sindy Bechtelar,1184 BLOOR ST W,5194728947,1358713297,irxunbydhw@sbdyurgo.jed,Ma5Jp5sKjjKyw @ muw .com,11-20 years,Y,Own,34,13,6,161,58,48,N,N,N,N,Indian,N,Low-end,124075,18182,16868,3241,2169,440,N,0,-79.43799,43.65934
767,BURGATORY,Tomeka Hagenes,719 COLLEGE ST,1542574863,8365688641,xwjymzu@bcjr.zgc,fIusqS1kwUKkD @ tyk .com,Under 1 year,Y,"Lease, want to purchase",21,11,50,116,58,97,Y,N,Y,N,Japanese,N,Average,192349,51389,268825,5429,2265,7587,Y,1,-79.41861,43.65509
768,BURGER BOY,Domenic Hansen,106 HUMBER COLLEGE BLVD,8344187218,6832944875,afwpym@czqnirbh.gly,6XC6MsFfywqxp @ cic .com,6-10 years,Y,"Lease, want to purchase",53,10,43,71,62,93,N,N,N,N,Greek,N,Low-end,225201,123220,101411,8467,4382,3813,Y,5,-79.60061,43.7312
769,BURGER FACTORY,Clarence Veum,"2030 ELLESMERE RD, Unit-2",5411545867,7921795237,qdjznvaohr@pva.ryo,DQiPl7RcCh8Gw @ jjy .com,Over 20 years,N,Own,40,5,9,100,21,91,N,Y,Y,N,Greek,Y,Low-end,172926,15541,15730,5042,31,458,N,0,-79.23503,43.77629
770,BURGER FACTORY,Chet Feest,576 QUEEN ST W,4151755432,9647527381,nlwtodp@zkwcr.umq,NA,1-5 years,N,"Lease, want to purchase",37,17,20,83,40,92,N,N,N,N,Mediterranean,N,High-end,464334,48053,466043,13264,4286,13313,Y,1,-79.4036,43.64728
771,BURGER FACTORY,Tameika Dibbert,"41 LEBOVIC AVE, Bldg-A 106",8424564857,3783581948,iz@klbcx.jul,NA,Over 20 years,N,Lease,12,17,59,133,2,87,Y,N,Y,N,American,N,High-end,446815,19736,531606,11432,1739,13601,Y,4,-79.2893,43.72308
772,BURGER KING,Claude D'Amore,2372 FINCH AVE W,8716933491,7121268763,gy@hjyqek.jda,aPJReA599H6up @ xyd .com,Over 20 years,Y,Lease,50,1,34,150,12,95,Y,Y,Y,N,Others,N,Low-end,137737,3185,105938,4728,1404,3636,Y,5,-79.54544,43.75187
773,BURGER KING,Chance Carter,"1615 WILSON AVE, Bldg-1615",7345178162,1622391652,hl@jkpxzsy.agk,NA,6-10 years,N,Own,8,19,4,104,24,58,Y,Y,N,N,Greek,N,Low-end,268163,63811,55779,5584,93,1161,N,0,-79.51087,43.72027
774,BURGER KING,Anderson Corkery,2571 LAWRENCE AVE E,7952342586,9168437436,udw@i.wlx,zRzhRlmRhzAbf @ pbc .com,11-20 years,Y,"Lease, want to purchase",27,18,3,99,38,57,Y,Y,Y,N,Korean,Y,Average,410076,178106,156718,12805,3447,4893,N,0,-79.26554,43.75103
775,BURGER KING,Deidre Daugherty,243 YONGE ST,2311489534,2567528261,zsbu@vjuzifre.gey,PWJrkkqbjgMW6 @ ojv .com,11-20 years,N,Lease,55,3,17,109,28,87,N,N,Y,N,Thai,N,Low-end,262809,14559,14353,10759,3185,587,N,0,-79.37991,43.65482
776,BURGER KING,Erika Prosacco,267 COLLEGE ST,9458258127,8417957458,evmbsdfy@mw.mor,Qa1qsQHYjh7zU @ qbp .com,11-20 years,Y,"Lease, want to purchase",49,19,11,91,42,48,Y,Y,Y,N,Indian,N,Average,501436,19301,17894,20868,3415,744,N,0,-79.398929999999993,43.65811
777,BURGER KING,Josefine Jewess,1077 WILSON AVE,8199365732,4517489572,tgfvdhr@fpq.zjd,errsFJoe863Jb @ add .com,6-10 years,Y,Own,34,4,10,108,69,70,N,Y,Y,N,Korean,N,Average,469982,105180,109979,12278,1558,2873,N,0,-79.48076,43.72689
778,BURGER KING,Christoper Fritsch,1560 THE QUEENSWAY,4515312871,7865174591,kqh@tfjqeibypd.jvs,7lzBQYgUHChdw @ imn .com,1-5 years,Y,Lease,39,14,58,115,26,94,Y,N,N,N,Thai,N,Low-end,142609,47330,141955,4000,129,3982,Y,1,-79.5394,43.61827
779,BURGER KING,Thao Bergstrom,3850 SHEPPARD AVE E,3814157648,9649432849,gwvs@mehrug.oca,q07Za044qajrw @ bbt .com,1-5 years,N,"Lease, want to purchase",48,18,58,102,55,70,Y,Y,N,N,Mexican,Y,High-end,633152,245419,332514,24942,2730,13099,Y,5,-79.29225,43.78394
780,BURGER KING,Truman Turner,1607 BIRCHMOUNT RD,3572983582,2383212456,piv@rhs.opq,2a3QjzEnbkdnu @ twm .com,1-5 years,Y,Own,28,11,12,96,18,85,Y,Y,Y,N,Thai,Y,High-end,735330,433223,470085,28320,147,18104,N,0,-79.2911,43.76377
781,BURGER KING,Courtney Graham,100 EGLINTON SQ,9619869317,6826486852,wmqsz@lwjqprzc.rdv,cMWL4xA8obJnV @ zek .com,Under 1 year,N,Own,8,4,3,150,59,42,N,Y,Y,N,Japanese,Y,High-end,747749,331868,326037,25109,3994,10948,N,0,-79.29787,43.72528
782,BURGER KING,Madalyn Schulist,3495 LAWRENCE AVE E,6788626439,4989127396,e@chy.jzb,Xb70gk8uomvX0 @ gxf .com,11-20 years,Y,Own,59,11,24,119,1,78,Y,Y,N,Y,Thai,N,Average,224353,111548,132532,8436,4178,4983,Y,1,-79.22914,43.75875
783,BURGER KING,Cristine Keebler,1194 KING ST W,8322717461,5182588476,g@vxez.vsr,gJwkBD6C01toF @ oxv .com,Under 1 year,Y,Lease,58,3,12,141,5,56,Y,Y,Y,N,Japanese,Y,Low-end,252333,8114,242652,11128,131,10701,Y,2,-79.42709,43.6391
784,BURGER KING HOME OF THE WHOPPER,Maryjo Howe,940 LAWRENCE AVE W,2798247913,6319465438,huiow@zkbdl.uwj,Z2pxmLSFQIIpX @ gmd .com,1-5 years,Y,Lease,34,13,21,97,40,57,Y,Y,Y,N,Chinese,N,Low-end,125367,36417,197778,3066,1000,4836,Y,5,-79.45639,43.71421
785,BURGER KING RESTAURANTS OF CANADA INC.,Jimmy Pacocha,6630 FINCH AVE W,2564264735,9359158625,dtrxjyg@fhzedm.wpn,3herzkH1hnAa5 @ bcg .com,6-10 years,N,Own,32,3,64,86,9,87,Y,N,Y,N,Chinese,N,Low-end,266206,81056,172512,6551,2594,4245,Y,5,-79.60448,43.73485
786,BURGER SHACK,Kandi Brakus,233 EGLINTON AVE W,4265274927,3979788371,xeugdjib@qglyvbtfds.abz,OisdjYNf3QmKk @ hkw .com,Over 20 years,N,Own,31,10,20,159,29,47,N,N,Y,N,Italian,N,Low-end,134802,43964,108044,2839,807,2276,Y,2,-79.4057,43.70481
787,BURGERS N FRIES FOREVER,Melita Heller,295 ADELAIDE ST W,1658493241,4919166723,hbv@bpjcszxh.mis,DzokYI4r8VwCZ @ vzb .com,1-5 years,N,Own,66,18,13,75,64,82,Y,Y,N,N,Vietnamese,N,Average,321721,212169,229364,9380,5855,6687,N,0,-79.39076,43.6476
788,BURGERS N' FRIES FOREVER,Sanjuana Greenfelder,182 OSSINGTON AVE,2842982473,2682719861,x@ncwdtleqo.ahf,cO3ASGT5LiMlA @ lqi .com,1-5 years,N,Own,36,13,7,90,53,52,N,Y,Y,N,Italian,N,Average,281450,2388,257600,9662,2388,8843,Y,4,-79.42062,43.64837
789,BURGERS PARK,Angelita Waters,"229 CONSUMERS RD, Unit-H1",6241474596,4571245237,fmntrpj@g.kbh,lx4WFrjhCAGwz @ hcp .com,1-5 years,Y,Lease,64,3,18,101,7,63,Y,N,N,N,Others,N,Average,376762,77686,68025,7846,3236,1416,N,0,-79.33171,43.77088
790,BURRITO BANDIDOS,Natalia Nicolas,"496 YONGE ST, Unit-B",1359312913,5477648473,suktgdp@nryaqcxltf.lmu,m7NsRRPzP5EVL @ wdf .com,Under 1 year,Y,Lease,66,10,16,112,13,66,Y,Y,N,Y,Chinese,N,Low-end,125061,31907,27791,3688,730,819,N,0,-79.38403,43.66309
791,BURRITO BOSS,Gordon Anderson,359 MARLEE AVE,6985464982,2372769783,gjydw@tc.fks,RPVYlSLu1JBF4 @ sxo .com,Over 20 years,Y,Lease,26,18,3,147,0,85,Y,Y,Y,N,Mexican,N,Low-end,202108,51873,50141,4453,1108,1104,N,0,-79.44265,43.70694
792,BURRITO BOYZ,Gwenn Will,3355 BLOOR ST W,6213647246,4565829457,kabpqmle@oxi.lcw,N72En5KVnqia7 @ rln .com,Under 1 year,N,Own,46,9,1,111,45,47,Y,N,N,Y,Indian,N,Average,265601,10914,9836,10874,3864,402,N,0,-79.52193,43.64477
793,BURRITO BOYZ,Leeanna Wintheiser,1158 THE QUEENSWAY,9125642419,2166988653,dqkjwmufvt@qhd.edr,PyusbSGzMK6Xq @ opm .com,1-5 years,Y,Lease,38,10,56,147,22,91,Y,Y,Y,N,Vietnamese,N,Average,464361,145338,329724,13026,755,9249,Y,4,-79.52102,43.62223
794,BURRITO BOYZ,Harlan Mraz,224 ADELAIDE ST W,3141861879,4176831937,eykqjcmvn@bkrjquast.azi,zeLlTT4j8N4gV @ ywv .com,11-20 years,Y,Own,21,16,8,83,54,72,Y,N,N,N,Indian,N,Average,506087,72609,72693,22319,2354,3205,N,0,-79.38789,43.64835
795,BURRITO BOYZ,Jerrod Mueller,74 DUNDAS ST E,7967924935,3921578961,p@fjwp.jsq,wWIK00nyxIkO0 @ toi .com,11-20 years,Y,"Lease, want to purchase",19,14,7,118,49,96,Y,Y,Y,N,Mexican,Y,Low-end,224222,27966,25915,5233,1619,604,N,0,-79.37856,43.65637
